38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2022
ACEH,3154.01
SUMATERA UTARA,12059.81
SUMATERA BARAT,3630.43
RIAU,7691.64
JAMBI,2234.86
SUMATERA SELATAN,5878.31
BENGKULU,1087.22
LAMPUNG,5382.48
KEP. BANGKA BELITUNG,1484.13
KEP. RIAU,3889.72
DKI JAKARTA,34578.29
JAWA BARAT,56226.11
JAWA TENGAH,27564.64
DI YOGYAKARTA,3326.61
JAWA TIMUR,40546.88
BANTEN,26705.67
BALI,5470.51
NUSA TENGGARA BARAT,2359.31
NUSA TENGGARA TIMUR,1206.91
KALIMANTAN BARAT,3034.85
KALIMANTAN TENGAH,1688.28
KALIMANTAN SELATAN,3298.88
KALIMANTAN TIMUR,4287.19
KALIMANTAN UTARA,192.11
SULAWESI UTARA,1966.05
SULAWESI TENGAH,1420.38
SULAWESI SELATAN,7856.64
SULAWESI TENGGARA,1213.9
GORONTALO,674.05
SULAWESI BARAT,470.21
MALUKU,607.1
MALUKU UTARA,672.32
PAPUA BARAT,621.46
PAPUA BARAT DAYA,-
PAPUA,1280.52
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,273761.48
