38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2020
ACEH,2937.99
SUMATERA UTARA,11192.85
SUMATERA BARAT,3429.29
RIAU,4967.05
JAMBI,2010.6
SUMATERA SELATAN,5312.77
BENGKULU,1013.5
LAMPUNG,4959.02
KEP. BANGKA BELITUNG,1217.52
KEP. RIAU,887.6
DKI JAKARTA,32166.72
JAWA BARAT,49542.25
JAWA TENGAH,25090.74
DI YOGYAKARTA,3012.45
JAWA TIMUR,37613.55
BANTEN,22268.71
BALI,4946.86
NUSA TENGGARA BARAT,2149.42
NUSA TENGGARA TIMUR,1133.48
KALIMANTAN BARAT,2715.67
KALIMANTAN TENGAH,1493.69
KALIMANTAN SELATAN,2939
KALIMANTAN TIMUR,4123.86
KALIMANTAN UTARA,261.82
SULAWESI UTARA,1862.28
SULAWESI TENGAH,1271.06
SULAWESI SELATAN,5977.48
SULAWESI TENGGARA,1063.52
GORONTALO,601.58
SULAWESI BARAT,423.96
MALUKU,548.12
MALUKU UTARA,591.34
PAPUA BARAT,547.46
PAPUA BARAT DAYA,-
PAPUA,1132.4
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,241405.61
