Provinsi,Rumah,Industri,Bisnis,Sosial,Bangunan Pemerintah,Penerangan Jalan Umum,Total,(%),Tahun
South Sumatera,"3,213.41",997.88,938.33,203.58,109.06,131.67,"5,593.93",2.17,2021
Jambi,"1,373.30",175.26,394.86,83.48,48.35,36.67,"2,111.92",0.82,2021
Bengkulu,751.99,79.73,146.48,41.09,29.45,9.87,"1,058.61",0.41,2021
UIW Bangka Belitung,734.92,334.89,204.61,50.17,35.16,9.45,"1,369.20",0.53,2021
UID Lampung,"3,032.14","1,100.99",645.49,201.45,73.25,123.62,"5,176.94",2.01,2021
UIW West Kalimantan,"1,851.60",232.03,584.47,116.13,82.01,46.74,"2,912.98",1.13,2021
UIW S and C Kalimantan,"2,798.64",600.24,832.16,193.66,139.95,83.95,"4,648.60",1.80,2021
South Kalimantan,"1,814.17",433.00,533.07,129.76,78.13,62.58,"3,050.71",1.18,2021
Central Kalimantan,984.47,167.24,299.09,63.90,61.82,21.37,"1,597.89",0.62,2021
UIW East and North Kalimantan,"2,421.02",458.86,"1,019.31",180.25,169.47,53.03,"4,301.94",1.67,2021
"UIW N, C Sulawesi and Gorontalo","2,314.92",488.90,698.72,176.58,141.62,112.08,"3,932.82",1.53,2021
North Sulawesi,970.99,384.49,405.97,83.52,48.50,46.79,"1,940.26",0.75,2021
Gorontalo,416.64,39.80,102.20,29.87,39.51,10.69,638.71,0.25,2021
Central Sulawesi,927.29,64.61,190.55,63.19,53.61,54.60,"1,353.85",0.53,2021
"UIW S, SE and W Sulawesi","4,327.98","1,733.74","1,401.91",340.33,222.45,160.79,"8,187.20",3.18,2021
South Sulawesi,"3,262.35","1,635.68","1,133.23",274.32,158.31,133.98,"6,597.87",2.56,2021
Southeast Sulawesi,769.50,59.27,211.60,46.32,43.86,19.29,"1,149.84",0.45,2021
West Sulawesi,296.13,38.79,57.08,19.69,20.28,7.52,439.49,0.17,2021
UIW Maluku and North Maluku,793.78,16.66,245.39,63.09,83.74,17.26,"1,219.92",0.47,2021
Maluku,349.21,10.51,135.77,33.69,46.13,7.57,582.88,0.23,2021
North Maluku,444.57,6.15,109.62,29.40,37.61,9.69,637.04,0.25,2021
UIW Papua and West Papua,"1,081.71",21.31,470.72,98.57,130.67,17.87,"1,820.85",0.71,2021
Papua,726.39,11.84,334.18,66.18,87.21,11.84,"1,237.64",0.48,2021
West Papua,355.32,9.47,136.54,32.39,43.46,6.03,583.21,0.23,2021
UID Bali,"2,343.14",183.47,"1,833.48",159.46,120.41,68.06,"4,708.02",1.83,2021
UIW West Nusa Tenggara,"1,510.06",178.58,401.48,95.68,48.17,56.22,"2,290.19",0.89,2021
UIW East Nusa Tenggara,749.03,41.19,238.66,65.08,48.30,17.90,"1,160.16",0.45,2021
PT PLN Batam,891.51,846.18,706.90,67.19,39.61,14.40,"2,565.79",1.00,2021
O u t s i d e J a v a,"43,330.64","13,342.28","14,932.11","3,205.80","2,007.00","1,731.47","78,549.30",30.49,2021
UID East Java,"15,618.65","16,469.27","5,014.11","1,326.27",421.15,607.74,"39,457.19",15.32,2021
UID Central Java and Yogyakarta,"14,756.13","8,597.95","4,212.85","1,300.84",351.47,550.30,"29,769.54",11.55,2021
Central Java,"12,986.94","8,332.48","3,512.97","1,055.15",284.09,489.53,"26,661.16",10.35,2021
D.I. Yogyakarta,"1,769.19",265.47,699.88,245.69,67.38,60.77,"3,108.38",1.21,2021
UID West Java,"20,925.89","24,077.60","6,277.79","1,214.62",449.98,372.14,"53,318.02",20.70,2021
UID Banten,"6,014.22","14,233.05","3,009.44",331.65,159.66,82.89,"23,830.91",9.25,2021
UID Jakarta Raya,"14,724.52","4,184.30","10,994.55","1,286.81","1,318.71",200.41,"32,709.30",12.70,2021
J a v a,"72,039.41","67,562.17","29,508.74","5,460.19","2,700.97","1,813.48","179,084.96",69.51,2021
I n d o n e s i a,"115,370.05","80,904.45","44,440.85","8,665.99","4,707.97","3,544.95","257,634.25",100.00,2021
(%),44.78,31.40,17.25,3.36,1.83,1.38,100.00,,2021
UIW Aceh,"1,895.07",228.77,558.37,228.92,109.78,133.11,"3,154.01",1.15,2022
UIW North Sumatera,"6,025.69","3,152.63","1,808.45",501.49,152.05,419.50,"12,059.81",4.41,2022
UIW West Sumatera,"1,791.64",827.73,639.01,192.18,82.58,97.30,"3,630.43",1.33,2022
UIW Riau and Riau Archipelago,"3,507.15","3,000.53","1,538.11",301.67,156.61,134.12,"8,638.19",3.16,2022
Riau,"3,007.32","2,960.77","1,236.21",260.79,115.41,111.14,"7,691.64",2.81,2022
Riau Archipelago,499.83,39.76,301.90,40.88,41.20,22.98,946.55,0.35,2022
"UIW South Sumatera, Jambi and Bengkulu","5,483.35","1,331.82","1,607.35",382.18,198.03,197.66,"9,200.39",3.36,2022
South Sumatera,"3,295.08","1,067.48","1,017.77",234.75,116.00,147.23,"5,878.31",2.15,2022
Jambi,"1,421.85",182.54,437.41,101.31,50.96,40.79,"2,234.86",0.82,2022
Bengkulu,766.42,81.81,152.18,46.12,31.06,9.64,"1,087.22",0.40,2022
UIW Bangka Belitung,766.15,393.27,225.85,54.55,35.77,8.54,"1,484.13",0.54,2022
UID Lampung,"3,049.64","1,172.18",738.96,222.30,72.64,126.75,"5,382.48",1.97,2022
UIW West Kalimantan,"1,906.59",233.04,625.63,136.33,85.26,47.99,"3,034.85",1.11,2022
UIW South and Central Kalimantan,"2,856.24",749.50,911.90,231.86,148.81,88.84,"4,987.15",1.82,2022
South Kalimantan,"1,846.17",560.89,589.15,154.88,84.05,63.73,"3,298.88",1.21,2022
Central Kalimantan,"1,010.07",188.61,322.75,76.98,64.76,25.11,"1,688.28",0.62,2022
UIW East and North Kalimantan,"2,486.11",454.56,"1,091.99",212.35,180.92,53.38,"4,479.30",1.64,2022
"UIW North, Central Sulawesi and Gorontalo","2,334.90",543.28,741.85,198.56,148.06,93.85,"4,060.49",1.48,2022
North Sulawesi,960.20,394.48,428.72,91.66,50.92,40.07,"1,966.05",0.72,2022
Gorontalo,417.10,68.82,102.44,34.59,40.22,10.88,674.05,0.25,2022
Central Sulawesi,957.59,79.98,210.68,72.30,56.93,42.90,"1,420.38",0.52,2022
