Provinsi,Tahun,Segmen Pelanggan,Distribusi Listrik (GWh)
UIW East Nusa Tenggara,2023,Bisnis,31624.0
PT PLN Batam,2023,Bisnis,1.09716
UIW East Java,2023,Bisnis,5.93268
UID Central Java and Yogyakarta,2023,Bisnis,5.06491
Jawa Tengah,2023,Bisnis,4.17067
D.I. Yogyakarta,2023,Bisnis,89424.0
UIW West Java,2023,Bisnis,9.01371
UID Banten,2023,Bisnis,3.9646
UID Jakarta Raya,2023,Bisnis,14.00163
UIW Aceh,2023,Sosial,25110.0
UIW North Sumatera,2023,Sosial,57689.0
UIW West Sumatera,2023,Sosial,21724.0
UIW Riau and Riau Archipelago,2023,Sosial,34245.0
Riau,2023,Sosial,29671.0
Kepulauan Riau,2023,Sosial,4574.0
"UIW South Sumatera, Jambi and Bengkulu",2023,Sosial,43020.0
Sumatera Selatan,2023,Sosial,26206.0
Jambi,2023,Sosial,11675.0
Bengkulu,2023,Sosial,5139.0
UIW Bangka Belitung,2023,Sosial,6127.0
UIW Lampung,2023,Sosial,26707.0
UIW West Kalimantan,2023,Sosial,15976.0
UIW S and C Kalimantan,2023,Sosial,26797.0
Kalimantan Selatan,2023,Sosial,17653.0
Kalimantan Tengah,2023,Sosial,9144.0
UIW East and North Kalimantan,2023,Sosial,24496.0
"UIW N, C Sulawesi and Gorontalo",2023,Sosial,22897.0
Sulawesi Utara,2023,Sosial,10561.0
Sulawesi Tengah,2023,Sosial,8353.0
Gorontalo,2023,Sosial,3983.0
"UIW S, SE and W Sulawesi",2023,Sosial,46261.0
Sulawesi Selatan,2023,Sosial,37064.0
Sulawesi Tenggara,2023,Sosial,6377.0
Sulawesi Barat,2023,Sosial,2819.0
UIW Maluku and North Maluku,2023,Sosial,7500.0
Maluku,2023,Sosial,3853.0
Maluku Utara,2023,Sosial,3647.0
UIW Papua and West Papua,2023,Sosial,12667.0
Papua,2023,Sosial,8550.0
Papua Barat,2023,Sosial,4116.0
UID Bali,2023,Sosial,21003.0
UIW West Nusa Tenggara,2023,Sosial,12564.0
UIW East Nusa Tenggara,2023,Sosial,9272.0
PT PLN Batam,2023,Sosial,9017.0
UIW East Java,2023,Sosial,1.71678
UID Central Java and Yogyakarta,2023,Sosial,1.74651
Jawa Tengah,2023,Sosial,1.41882
D.I. Yogyakarta,2023,Sosial,32769.0
UIW West Java,2023,Sosial,1.67984
UID Banten,2023,Sosial,46342.0
UID Jakarta Raya,2023,Sosial,1.65884
UIW Aceh,2023,Bangunan Pemerintah,11555.0
UIW North Sumatera,2023,Bangunan Pemerintah,15868.0
UIW West Sumatera,2023,Bangunan Pemerintah,8604.0
