Provinsi,Tahun,Segmen Pelanggan,Distribusi Listrik (GWh)
UID Central Java and Yogyakarta,2023,Bisnis,5064.91
Jawa Tengah,2023,Bisnis,4170.67
D.I. Yogyakarta,2023,Bisnis,894.24
UIW West Java,2023,Bisnis,9013.71
UID Banten,2023,Bisnis,3964.6
UID Jakarta Raya,2023,Bisnis,14001.63
UIW Aceh,2023,Sosial,251.1
UIW North Sumatera,2023,Sosial,576.89
UIW West Sumatera,2023,Sosial,217.24
UIW Riau and Riau Archipelago,2023,Sosial,342.45
Riau,2023,Sosial,296.71
Kepulauan Riau,2023,Sosial,45.74
"UIW South Sumatera, Jambi and Bengkulu",2023,Sosial,430.2
Sumatera Selatan,2023,Sosial,262.06
Jambi,2023,Sosial,116.75
Bengkulu,2023,Sosial,51.39
UIW Bangka Belitung,2023,Sosial,61.27
UIW Lampung,2023,Sosial,267.07
UIW West Kalimantan,2023,Sosial,159.76
UIW S and C Kalimantan,2023,Sosial,267.97
Kalimantan Selatan,2023,Sosial,176.53
Kalimantan Tengah,2023,Sosial,91.44
UIW East and North Kalimantan,2023,Sosial,244.96
"UIW N, C Sulawesi and Gorontalo",2023,Sosial,228.97
Sulawesi Utara,2023,Sosial,105.61
Sulawesi Tengah,2023,Sosial,83.53
Gorontalo,2023,Sosial,39.83
"UIW S, SE and W Sulawesi",2023,Sosial,462.61
Sulawesi Selatan,2023,Sosial,370.64
Sulawesi Tenggara,2023,Sosial,63.77
Sulawesi Barat,2023,Sosial,28.19
UIW Maluku and North Maluku,2023,Sosial,75.0
Maluku,2023,Sosial,38.53
Maluku Utara,2023,Sosial,36.47
UIW Papua and West Papua,2023,Sosial,126.67
Papua,2023,Sosial,85.5
Papua Barat,2023,Sosial,41.16
UID Bali,2023,Sosial,210.03
UIW West Nusa Tenggara,2023,Sosial,125.64
UIW East Nusa Tenggara,2023,Sosial,92.72
PT PLN Batam,2023,Sosial,90.17
UIW East Java,2023,Sosial,1716.78
UID Central Java and Yogyakarta,2023,Sosial,1746.51
Jawa Tengah,2023,Sosial,1418.82
D.I. Yogyakarta,2023,Sosial,327.69
UIW West Java,2023,Sosial,1679.84
UID Banten,2023,Sosial,463.42
UID Jakarta Raya,2023,Sosial,1658.84
UIW Aceh,2023,Bangunan Pemerintah,115.55
UIW North Sumatera,2023,Bangunan Pemerintah,158.68
UIW West Sumatera,2023,Bangunan Pemerintah,86.04
UIW Riau and Riau Archipelago,2023,Bangunan Pemerintah,162.67
Riau,2023,Bangunan Pemerintah,119.24
Kepulauan Riau,2023,Bangunan Pemerintah,43.43
"UIW South Sumatera, Jambi and Bengkulu",2023,Bangunan Pemerintah,210.4
Sumatera Selatan,2023,Bangunan Pemerintah,123.84
Jambi,2023,Bangunan Pemerintah,54.12
Bengkulu,2023,Bangunan Pemerintah,32.44
UIW Bangka Belitung,2023,Bangunan Pemerintah,38.18
UIW Lampung,2023,Bangunan Pemerintah,76.91
UIW West Kalimantan,2023,Bangunan Pemerintah,87.34
UIW S and C Kalimantan,2023,Bangunan Pemerintah,160.03
Kalimantan Selatan,2023,Bangunan Pemerintah,92.01
Kalimantan Tengah,2023,Bangunan Pemerintah,68.02
UIW East and North Kalimantan,2023,Bangunan Pemerintah,196.61
"UIW N, C Sulawesi and Gorontalo",2023,Bangunan Pemerintah,157.77
Sulawesi Utara,2023,Bangunan Pemerintah,54.44
Sulawesi Tengah,2023,Bangunan Pemerintah,62.58
Gorontalo,2023,Bangunan Pemerintah,40.75
"UIW S, SE and W Sulawesi",2023,Bangunan Pemerintah,246.2
Sulawesi Selatan,2023,Bangunan Pemerintah,170.71
Sulawesi Tenggara,2023,Bangunan Pemerintah,51.47
Sulawesi Barat,2023,Bangunan Pemerintah,24.02
UIW Maluku and North Maluku,2023,Bangunan Pemerintah,94.88
Maluku,2023,Bangunan Pemerintah,52.49
Maluku Utara,2023,Bangunan Pemerintah,42.39
UIW Papua and West Papua,2023,Bangunan Pemerintah,149.81
Papua,2023,Bangunan Pemerintah,99.3
Papua Barat,2023,Bangunan Pemerintah,50.51
UID Bali,2023,Bangunan Pemerintah,101.77
UIW West Nusa Tenggara,2023,Bangunan Pemerintah,51.72
UIW East Nusa Tenggara,2023,Bangunan Pemerintah,54.13
PT PLN Batam,2023,Bangunan Pemerintah,44.81
UIW East Java,2023,Bangunan Pemerintah,475.59
UID Central Java and Yogyakarta,2023,Bangunan Pemerintah,405.14
Jawa Tengah,2023,Bangunan Pemerintah,324.66
D.I. Yogyakarta,2023,Bangunan Pemerintah,80.48
UIW West Java,2023,Bangunan Pemerintah,560.75
UID Banten,2023,Bangunan Pemerintah,167.91
UID Jakarta Raya,2023,Bangunan Pemerintah,1482.22
UIW Aceh,2023,Penerangan Jalan Umum,133.98
UIW North Sumatera,2023,Penerangan Jalan Umum,420.8
UIW West Sumatera,2023,Penerangan Jalan Umum,100.31
UIW Riau and Riau Archipelago,2023,Penerangan Jalan Umum,138.15
Riau,2023,Penerangan Jalan Umum,114.71
Kepulauan Riau,2023,Penerangan Jalan Umum,23.45
"UIW South Sumatera, Jambi and Bengkulu",2023,Penerangan Jalan Umum,198.49
Sumatera Selatan,2023,Penerangan Jalan Umum,147.68
Jambi,2023,Penerangan Jalan Umum,42.33
Bengkulu,2023,Penerangan Jalan Umum,8.48
UIW Bangka Belitung,2023,Penerangan Jalan Umum,9.99
UIW Lampung,2023,Penerangan Jalan Umum,129.48
UIW West Kalimantan,2023,Penerangan Jalan Umum,47.67
UIW S and C Kalimantan,2023,Penerangan Jalan Umum,88.98
Kalimantan Selatan,2023,Penerangan Jalan Umum,65.37
Kalimantan Tengah,2023,Penerangan Jalan Umum,23.61
UIW East and North Kalimantan,2023,Penerangan Jalan Umum,52.2
"UIW N, C Sulawesi and Gorontalo",2023,Penerangan Jalan Umum,81.98
Sulawesi Utara,2023,Penerangan Jalan Umum,38.67
Sulawesi Tengah,2023,Penerangan Jalan Umum,32.38
Gorontalo,2023,Penerangan Jalan Umum,10.93
"UIW S, SE and W Sulawesi",2023,Penerangan Jalan Umum,159.39
Sulawesi Selatan,2023,Penerangan Jalan Umum,130.31
Sulawesi Tenggara,2023,Penerangan Jalan Umum,21.56
Sulawesi Barat,2023,Penerangan Jalan Umum,7.52
UIW Maluku and North Maluku,2023,Penerangan Jalan Umum,18.52
Maluku,2023,Penerangan Jalan Umum,7.82
Maluku Utara,2023,Penerangan Jalan Umum,10.7
UIW Papua and West Papua,2023,Penerangan Jalan Umum,18.65
Papua,2023,Penerangan Jalan Umum,12.4
Papua Barat,2023,Penerangan Jalan Umum,6.25
UID Bali,2023,Penerangan Jalan Umum,63.09
UIW West Nusa Tenggara,2023,Penerangan Jalan Umum,54.96
UIW East Nusa Tenggara,2023,Penerangan Jalan Umum,18.15
PT PLN Batam,2023,Penerangan Jalan Umum,13.39
UIW East Java,2023,Penerangan Jalan Umum,590.4
UID Central Java and Yogyakarta,2023,Penerangan Jalan Umum,553.99
Jawa Tengah,2023,Penerangan Jalan Umum,489.18
D.I. Yogyakarta,2023,Penerangan Jalan Umum,64.81
UIW West Java,2023,Penerangan Jalan Umum,428.79
UID Banten,2023,Penerangan Jalan Umum,86.12
UID Jakarta Raya,2023,Penerangan Jalan Umum,207.71
