Kelompok Pelanggan - PLN,
,Listrik Yang Didistribusikan Kepada Pelanggan (GWh)
,2023
Sosial,11496.09
Rumah Tangga,122339.71
Bisnis,57112.02
Industri,88587.71
Publik,8900.31
Semua Pelanggan,288435.84
