Kelompok Pelanggan - PLN,
,Listrik Yang Didistribusikan Kepada Pelanggan (GWh)
,2021
Sosial,8665.99
Rumah Tangga,115370.05
Bisnis,44440.85
Industri,80904.45
Publik,8252.92
Semua Pelanggan,257634.26
